data_id,kmeans,hierarchical,pam
color dummies,0.61798,0.38333333333333336,0.5166666666666667
color dummies and interactions,0.70698,0.5433333333333333,0.5666666666666667
interactions,0.6874333333333333,0.7166666666666667,0.7266666666666667
numeric,0.72522,0.71,0.7566666666666667
